id,name,region_id
121107,Siempat Nempu Hulu,1211
121108,Siempat Nempu Hilir,1211
121109,Pegagan Hilir,1211
121110,Parbuluan,1211
121111,Lae Parira,1211
121112,Gunung Sitember,1211
121113,Berampu,1211
121114,Silahisabungan,1211
121115,Sitinjo,1211
121201,Balige,1212
121202,Laguboti,1212
121203,Silaen,1212
121204,Habinsaran,1212
121205,Pintu Pohan Meranti,1212
121206,Borbor,1212
121207,Porsea,1212
121208,Ajibata,1212
121209,Lumban Julu,1212
121210,Uluan,1212
121219,Sigumpar,1212
121220,Siantar Narumonda,1212
121221,Nassau,1212
121222,Tampahan,1212
121223,Bonatua Lunasi,1212
121224,Parmaksian,1212
121301,Panyabungan,1213
121302,Panyabungan Utara,1213
121303,Panyabungan Timur,1213
121304,Panyabungan Selatan,1213
121305,Panyabungan Barat,1213
121306,Siabu,1213
121307,Bukit Malintang,1213
121308,Kotanopan,1213
121309,Lembah Sorik Marapi,1213
121310,Tambangan,1213
121311,Ulu Pungkut,1213
121312,Muara Sipongi,1213
121313,Batang Natal,1213
121314,Lingga Bayu,1213
121315,Batahan,1213
121316,Natal,1213
121317,Muara Batang Gadis,1213
121318,Ranto Baek,1213
121319,Huta Bargot,1213
121320,Puncak Sorik Marapi,1213
121321,Pakantan,1213
121322,Sinunukan,1213
121323,Naga Juang,1213
121401,Lolomatua,1214
121402,Gomo,1214
121403,Lahusa,1214
121404,Hibala,1214
121405,Pulau-Pulau Batu,1214
121406,Telukdalam,1214
121407,Amandraya,1214
121408,Lolowau,1214
121409,Susua,1214
121410,Maniamolo,1214
121411,Hilimegai,1214
121412,Toma,1214
121413,Mazino,1214
121414,Umbunasi,1214
121415,Aramo,1214
121416,Pulau-Pulau Batu Timur,1214
121417,Mazo,1214
121418,Fanayama,1214
121419,Ulunoyo,1214
121420,Huruna,1214
121421,O'o'u,1214
121422,Onohazumba,1214
121423,Hilisalawa'ahe,1214
121424,Ulususua,1214
121425,Sidua'ori,1214
121426,Somambawa,1214
121427,Boronadu,1214
121428,Simuk,1214
121429,Pulau-Pulau Batu Barat,1214
121430,Pulau-Pulau Batu Utara,1214
121431,Tanah Masa,1214
121432,Luahagundre Maniamolo,1214
121433,Onolalu,1214
121434,Ulu Idanotae,1214
121435,Idanotae,1214
121501,Sitelu Tali Urang Jehe,1215
121502,Kerajaan,1215
121503,Salak,1215
121504,Sitelu Tali Urang Julu,1215
121505,Pergetteng Getteng Sengkut,1215
121506,Pagindar,1215
121507,Tinada,1215
121508,Siempat Rube,1215
121601,Parlilitan,1216
121602,Pollung,1216
121603,Baktiraja,1216
121604,Paranginan,1216
121605,Lintong Nihuta,1216
121606,Dolok Sanggul,1216
121607,Sijamapolang,1216
121608,Onan Ganjang,1216
121609,Pakkat,1216
121610,Tarabintang,1216
121701,Simanindo,1217
121702,Onan Runggu,1217
121703,Nainggolan,1217
121704,Palipi,1217
121705,Harian,1217
121706,Sianjur Mula Mula,1217
121707,Ronggur Nihuta,1217
121708,Pangururan,1217
121709,Sitio-tio,1217
121801,Pantai Cermin,1218
121802,Perbaungan,1218
121803,Teluk Mengkudu,1218
121804,Sei Rampah,1218
121805,Tanjung Beringin,1218
121806,Bandar Khalipah,1218
121807,Dolok Merawan,1218
121808,Sipispis,1218
121809,Dolok Masihul,1218
121810,Kotarih,1218
121811,Silinda,1218
121812,Serba Jadi,1218
121813,Tebing Tinggi,1218
121814,Pegajahan,1218
121815,Sei Bamban,1218
121816,Tebing Syahbandar,1218
121817,Bintang Bayu,1218
121901,Medang Deras,1219
121902,Sei Suka,1219
121903,Air Putih,1219
121904,Lima Puluh,1219
121905,Talawi,1219
121906,Tanjung Tiram,1219
121907,Sei Balai,1219
121908,Laut Tador,1219
121909,Lima Puluh Pesisir,1219
121910,Datuk Lima Puluh,1219
121911,Datuk Tanah Datar,1219
121912,Nibung Hangus,1219
122001,Dolok Sigompulon,1220
122002,Dolok,1220
122003,Halongonan,1220
122004,Padang Bolak,1220
122005,Padang Bolak Julu,1220
122006,Portibi,1220
122007,Batang Onang,1220
122008,Simangambat,1220
122009,Hulu Sihapas,1220
122010,Padang Bolak Tenggara,1220
122011,Halongonan Timur,1220
122012,Ujung Batu,1220
122101,Sosopan,1221
122102,Barumun Tengah,1221
122103,Huristak,1221
122104,Lubuk Barumun,1221
122105,Hutaraja Tinggi,1221
122106,Ulu Barumun,1221
122107,Barumun,1221
122108,Sosa,1221
122109,Batang Lubu Sutam,1221
122110,Barumun Selatan,1221
122111,Aek Nabara Barumun,1221
122112,Sihapas Barumun,1221
122113,Barumun Baru,1221
122114,Ulu Sosa,1221
122115,Sosa Julu,1221
122116,Barumun Barat,1221
122117,Sosa Timur,1221
122201,Kotapinang,1222
122202,Kampung Rakyat,1222
122203,Torgamba,1222
122204,Sungai Kanan,1222
122205,Silangkitang,1222
122301,Kualuh Hulu,1223
122302,Kualuh Leidong,1223
122303,Kualuh Hilir,1223
122304,Aek Kuo,1223
122305,Marbau,1223
122306,Na IX - X,1223
122307,Aek Natas,1223
122308,Kualuh Selatan,1223
122401,Lotu,1224
122402,Sawo,1224
122403,Tuhemberua,1224
122404,Sitolu Ori,1224
122405,Namohalu Esiwa,1224
122406,Alasa Talumuzoi,1224
122407,Alasa,1224
122408,Tugala Oyo,1224
122409,Afulu,1224
122410,Lahewa,1224
122411,Lahewa Timur,1224
122501,Lahomi,1225
122502,Sirombu,1225
122503,Mandrehe Barat,1225
122504,Moro,1225
122505,Mandrehe,1225
122506,Mandrehe Utara,1225
122507,Lolofitu Moi,1225
122508,Ulu Moro,1225
127101,Medan Kota,1271
127102,Medan Sunggal,1271
127103,Medan Helvetia,1271
127104,Medan Denai,1271
127105,Medan Barat,1271
127106,Medan Deli,1271
127107,Medan Tuntungan,1271
127108,Medan Belawan,1271
127109,Medan Amplas,1271
127110,Medan Area,1271
127111,Medan Johor,1271
127112,Medan Marelan,1271
127113,Medan Labuhan,1271
127114,Medan Tembung,1271
127115,Medan Maimun,1271
127116,Medan Polonia,1271
127117,Medan Baru,1271
127118,Medan Perjuangan,1271
127119,Medan Petisah,1271
127120,Medan Timur,1271
127121,Medan Selayang,1271
127201,Siantar Timur,1272
127202,Siantar Barat,1272
127203,Siantar Utara,1272
127204,Siantar Selatan,1272
127205,Siantar Marihat,1272
127206,Siantar Martoba,1272
127207,Siantar Sitalasari,1272
127208,Siantar Marimbun,1272
127301,Sibolga Utara,1273
127302,Sibolga Kota,1273
127303,Sibolga Selatan,1273
127304,Sibolga Sambas,1273
127401,Tanjungbalai Selatan,1274
127402,Tanjungbalai Utara,1274
127403,Sei Tualang Raso,1274
127404,Teluk Nibung,1274
127405,Datuk Bandar,1274
127406,Datuk Bandar Timur,1274
127501,Binjai Utara,1275
127502,Binjai Kota,1275
127503,Binjai Barat,1275
127504,Binjai Timur,1275
127505,Binjai Selatan,1275
127601,Padang Hulu,1276
127602,Rambutan,1276
127603,Padang Hilir,1276
127604,Bajenis,1276
127605,Tebing Tinggi Kota,1276
127701,Padangsidimpuan Utara,1277
127702,Padangsidimpuan Selatan,1277
127703,Padangsidimpuan Batunadua,1277
127704,Padangsidimpuan Hutaimbaru,1277
127705,Padangsidimpuan Tenggara,1277
127706,Padangsidimpuan Angkola Julu,1277
127801,Gunungsitoli,1278
127802,Gunungsitoli Selatan,1278
127803,Gunungsitoli Utara,1278
127804,Gunungsitoli Idanoi,1278
127805,Gunungsitoli Alo,1278
127806,Gunungsitoli Barat,1278
